time,count
00:00,133
00:15,139
00:30,168
00:45,185
01:00,192
01:15,196
01:30,215
01:45,236
02:00,216
02:15,218
02:30,232
02:45,255
03:00,161
03:15,165
03:30,187
03:45,216
04:00,70
04:15,72
04:30,94
04:45,131
05:00,29
05:15,29
05:30,40
05:45,76
06:00,7
06:15,7
06:30,9
06:45,29
07:00,8
07:15,8
07:30,8
07:45,14
08:00,62
08:15,63
08:30,127
08:45,117
09:00,179
09:15,180
09:30,193
09:45,205
10:00,238
10:15,242
10:30,248
10:45,260
11:00,281
11:15,284
11:30,287
11:45,300
14:00,164
14:15,163
14:30,189
14:45,209
15:00,28
15:15,24
15:30,36
15:45,113
16:00,3
16:15,2
16:30,4
16:45,36
21:00,7
21:15,7
21:30,10
21:45,12
22:00,27
22:15,28
22:30,38
22:45,42
23:00,52
23:15,54
23:30,77
23:45,90
