time,already,new,chg_already,chg_neutral,mitigated
00:15,0,0,0,3,0
00:30,0,0,0,2,0
00:45,0,0,0,2,0
01:00,0,0,0,3,0
01:15,0,0,0,2,0
01:30,0,0,0,2,0
01:45,0,0,0,2,0
02:00,0,0,0,1,0
02:15,0,0,0,3,0
02:30,0,0,0,1,0
02:45,0,0,0,2,0
03:00,0,0,0,1,0
03:15,0,0,0,2,0
03:30,0,0,0,3,0
03:45,0,0,0,3,0
04:00,0,0,0,3,0
04:15,0,0,0,5,0
04:30,0,0,0,3,0
04:45,0,0,0,2,0
05:00,0,0,0,4,0
05:15,0,0,0,4,0
05:30,0,0,0,1,0
05:45,0,0,0,2,0
06:00,0,0,0,3,0
06:15,0,0,0,3,0
06:30,0,0,0,1,0
06:45,2,1,0,0,0
07:00,5,0,2,0,0
07:15,5,0,1,0,1
07:30,5,0,0,0,1
07:45,5,0,0,0,0
08:00,5,0,0,0,0
08:15,5,0,0,1,0
08:30,4,0,0,1,1
08:45,4,0,0,0,1
09:00,4,0,0,0,1
09:15,4,0,0,0,0
09:30,4,0,1,0,0
09:45,3,1,1,0,0
10:00,3,0,1,0,0
10:15,3,0,2,1,0
10:30,3,0,2,3,0
10:45,3,0,2,4,0
11:00,3,0,1,2,0
11:15,2,1,0,3,0
11:30,2,0,1,4,0
11:45,2,0,1,3,0
12:00,2,0,0,2,0
12:15,2,0,0,2,0
12:30,2,0,1,2,0
12:45,2,0,1,4,0
13:00,2,0,1,3,0
13:15,2,0,0,3,1
13:30,2,0,0,2,1
13:45,2,0,0,2,0
14:00,2,0,0,2,0
14:15,2,0,0,1,1
14:30,2,0,0,0,1
14:45,2,0,0,0,1
15:00,1,0,0,0,1
15:15,1,0,0,0,1
15:30,2,0,0,0,1
15:45,3,0,1,0,0
16:00,4,1,2,0,0
16:15,6,0,2,0,1
16:30,6,0,1,0,0
16:45,6,0,1,0,0
17:00,6,1,1,0,0
17:15,6,0,0,0,1
17:30,5,0,0,0,0
17:45,5,1,0,0,0
18:00,5,0,0,1,0
18:15,3,0,0,1,0
18:30,3,0,0,1,0
18:45,3,0,0,1,0
19:00,3,0,0,1,1
19:15,1,1,0,1,1
19:30,1,0,0,1,1
19:45,0,0,0,1,0
20:15,0,0,0,1,0
20:30,0,0,0,2,0
20:45,0,0,0,1,0
21:15,0,0,0,1,0
21:45,0,0,0,1,0
22:00,0,0,0,2,0
22:15,0,0,0,1,0
22:30,0,0,0,1,0
22:45,0,0,0,1,0
23:00,0,0,0,3,0
23:15,0,0,0,2,0
23:45,0,0,0,3,0
